NCBI Accession, NCBI Tax ID, Domain, Phylum, Class, Order, Family, Genus, Species
NZ_FOLE01000048.1,927664,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,Flexibacter flexilis
NZ_LGTQ01000001.1,1605367,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Jiulongibacter,Jiulongibacter sediminis
NC_014655.1,649349,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,Leadbetterella byssophila
NZ_FUZU01000006.1,688867,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,Ohtaekwangia koreensis
NZ_FOXH01000036.1,1079859,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Pseudarcicella,Pseudarcicella hirudinis
NZ_FNQC01000061.1,336829,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rhodonellum,Rhodonellum ikkaensis
NZ_KB913013.1,1089547,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rudanella,Rudanella lutea
NZ_KI519420.1,1123077,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,Runella limosa
NZ_FNGS01000019.1,563176,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Siphonobacter,Siphonobacter aquaeclarae
NZ_KB893245.1,1123276,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma luteum
NZ_BBLT01000037.1,153721,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sporocytophaga,Sporocytophaga myxococcoides
NZ_AODQ01000001.1,1279009,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Cesiribacter andamanensis
NZ_FOIR01000007.1,1267423,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,Fabibacter pacificus
NZ_LQAQ01000001.1,1775430,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,Flammeovirga sp. SJP92
NZ_KB903430.1,1121904,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flexithrix,Flexithrix dorotheae
NZ_AMZN01000001.1,1237149,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Fulvivirga imtechensis
NZ_FXAW01000025.1,1028,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marivirga,Marivirga sericea
NZ_ANNU01000001.1,1124780,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Nafulsella,Nafulsella turpanensis
NZ_MDGR01000001.1,1889772,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,NA 
NZ_JSVA01000001.1,1566026,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,Roseivirga seohaensis
NZ_KI421517.1,926549,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter aquaticus
NZ_FOQZ01000014.1,1793723,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA 
NZ_AKIS01000001.1,1144253,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter sp. BAB1700
NZ_LRML01000001.1,1567108,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter roseus
NZ_FOXS01000019.1,1227077,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Siccationidurans,Siccationidurans arizonensis
NZ_KE387152.1,1121902,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Microscillaceae,Eisenibacter,Eisenibacter elegans
NZ_AAWS01000135.1,313606,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Microscillaceae,Microscilla,Microscilla marina
NZ_FQWQ01000009.1,947013,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,NA,Chryseolinea,Chryseolinea serpens
NZ_LNAL01000001.1,1751427,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,NA,Solirubrum,Solirubrum puertoriconensis
NZ_FONY01000120.1,1003,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,NA,Thermoflexibacter,Thermoflexibacter ruber
NZ_LBGV01000001.1,1561025,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Persicobacteraceae,Persicobacter,NA 
NC_017924.1,1186051,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium,NA 
NZ_LYPF02000001.1,1740263,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Crocinitomix algicola
NC_015321.1,755732,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola taffensis
NZ_FPAS01000011.1,477690,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Lishizhenia,Lishizhenia tianjinensis
NC_016599.1,926562,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Owenweeksia hongkongensis
NZ_FNNS01000059.1,797419,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita viscosa
NZ_FOMI01000021.1,870482,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter,Algibacter pectinivorans
NZ_FOUZ01000040.1,684065,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algoriella,Algoriella xinjiangensis
NZ_KN050846.1,1223410,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Altibacter,Altibacter lentus
NZ_LIVM01000001.1,1586267,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Apibacter,Apibacter mensalis
NZ_LQRT01000001.1,1642818,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina aggregata
NZ_CP022515.1,616991,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter algicola
NZ_FQYK01000018.1,1178825,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenitalea,Arenitalea lutea
NZ_JH932282.1,883098,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bergeyella,Bergeyella zoohelcum
NZ_LZRO01000001.1,1861784,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bizionia,Bizionia sp. APA-3
NZ_CP022382.1,28188,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus
NC_014934.1,688270,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga algicola
NZ_FRBH01000024.1,1434701,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chishuiella,Chishuiella changwenlii
NZ_FTPE01000019.1,1932669,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,NA 
NZ_MKGI01000001.1,237258,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,Cloacibacterium normanense
NC_014230.1,216432,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus
NZ_LDJX01000001.1,1300341,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceitalea,Croceitalea dokdonensis
NZ_MTBC01000001.1,1929488,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceivirga,Croceivirga radicis
NZ_FQYI01000029.1,1118202,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cruoricaptor,Cruoricaptor ignavus
NZ_FZNY01000030.1,1627892,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia pacifica
NZ_MAHK01000001.1,172045,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia,Elizabethkingia miricola
NZ_JSYQ01000001.1,343874,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Empedobacter,Empedobacter falsenii
NZ_KB907546.1,1121875,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Eudoraea,Eudoraea adriatica
NZ_LCTZ01000002.1,346185,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flagellimonas,Flagellimonas eckloniae
NZ_FPKV01000031.1,369401,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flaviramulus,Flaviramulus basaltis
NZ_AVCS01000001.1,1107311,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium enshiense
NZ_BDEL01000001.1,1555194,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa,Formosa haliotis
NZ_MDVN01000001.1,1891971,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gaetbulibacter,NA 
NZ_AMSG01000001.1,555500,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Galbibacter,Galbibacter marinus
NZ_AUHD01000001.1,1121912,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,Gelidibacter mesophilus
NZ_AJLT01000001.1,1167637,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gillisia,Gillisia marina
NZ_CP019333.1,754429,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gilvibacter,NA 
NZ_CP018153.1,1913577,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella sp. LPB0144
NZ_FOFN01000011.1,419940,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Hyunsoonleella,Hyunsoonleella jejuensis
NZ_AJJU01000044.1,946077,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella,Imtechella halotolerans
NZ_BBNY01000098.1,504487,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Jejuia,Jejuia pallidilutea
NZ_JH651379.1,926559,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Joostella,Joostella marina
NZ_DS544873.1,391587,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia algicida
NZ_FNGV01000048.1,192904,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kriegella,Kriegella aquimaris
NZ_JSWF01000001.1,1469557,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix jangbogonensis
NZ_JPOL01000001.1,1392489,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,NA 
NZ_CP017478.1,1850246,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,NA 
NZ_LBIQ01000001.1,1645916,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mangrovimonas,NA 
NZ_CP018760.1,1836467,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp. T28
NZ_AULQ01000001.1,1122225,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens
NZ_FQYY01000043.1,579105,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesonia,Mesonia phycicola
NZ_FWXS01000027.1,1434700,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Moheibacter,Moheibacter sediminis
NZ_FOKU01000022.1,1055723,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda antarctica
NZ_FNDQ01000058.1,702745,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides phaeus
NZ_CP019344.1,331648,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens spongiae
NZ_AFPK01000077.1,1042376,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ochrovirga,Ochrovirga pacifica
NZ_FORM01000036.1,1144750,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Olleya,Olleya namhaensis
NZ_CP006828.1,1401325,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ornithobacterium,Ornithobacterium rhinotracheale
NZ_CH724148.1,313594,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter irgensii
NZ_FNAO01000052.1,641691,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pricia,Pricia antarctica
NZ_FQYU01000036.1,192903,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudozobellia,Pseudozobellia thermophila
NZ_FQTW01000047.1,1155689,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus salarius
NZ_JSWG01000001.1,1484460,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,Psychroserpens jangbogonensis
NZ_FPBK01000031.1,1224947,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pustulibacterium,Pustulibacterium marinum
NC_017569.1,992406,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella,Riemerella anatipestifer
NC_013222.1,313596,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata
NZ_JQNQ01000001.1,1250278,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,NA 
NZ_OCMF01000008.1,1343891,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium,Salinimicrobium sediminis
NZ_JHZX01000001.1,1392490,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sediminibacter,NA 
NZ_CP010535.1,1453352,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sediminicola,NA 
NZ_CP019389.1,1936081,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,NA 
NZ_CP007202.1,1454006,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Siansivirga,Siansivirga zeaxanthinifaciens
NZ_FPJE01000058.1,1150368,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sinomicrobium,Sinomicrobium oceani
NZ_FUYZ01000030.1,619805,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Soonwooa,Soonwooa buanensis
NZ_OBEH01000017.1,1247520,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiibacterium,Spongiibacterium pacificum
NZ_JTDV01000001.1,1382798,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tamlana,Tamlana nanhaiensis
NZ_CP013671.1,669041,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum dicentrarchi
NZ_FNBA01000055.1,227084,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,Ulvibacter litoralis
NZ_LT593739.1,1816680,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Vaginella,Vaginella massiliensis
NZ_CCMH01000001.1,1461577,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Weeksella,Weeksella massiliensis
NZ_CP014224.1,1790137,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wenyingzhuangia,Wenyingzhuangia fucanilytica
NZ_FQWS01000012.1,1089305,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella jejuensis
NZ_ANLA01000001.1,1137281,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Xanthomarina,Xanthomarina gelatinilytica
NZ_AYXY01000001.1,1286632,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zhouia,Zhouia amylolytica
NC_015844.1,63186,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zobellia,Zobellia galactanivorans
NC_014041.1,655815,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zunongwangia,Zunongwangia profunda
NZ_AP014564.1,242600,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Ichthyobacteriaceae,Ichthyobacterium,Ichthyobacterium seriolicida
NZ_JDSI01000001.1,1453500,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Schleiferiaceae,Schleiferia,Schleiferia thermophila
NC_007677.1,309807,Bacteria,Bacteroidetes,NA,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber
NZ_ATTH01000001.1,1089550,Bacteria,Bacteroidetes,NA,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salisaeta,Salisaeta longa
NZ_FRAU01000018.1,633813,Bacteria,Bacteroidetes,NA,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Rhodothermus,Rhodothermus profundi
NZ_PDEP01000001.1,1469170,Bacteria,Bacteroidetes,NA,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Longimonas,Longimonas halophila
NZ_PDEQ01000001.1,1850348,Bacteria,Bacteroidetes,NA,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Longibacter,Longibacter salinarum
NC_015510.1,760192,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Haliscomenobacter hydrossis
NZ_JPOS01000001.1,1524460,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter,Phaeodactylibacter xiamenensis
NZ_PDUD01000001.1,1122177,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,Lewinella,Lewinella nigricans
NZ_JHBV01000001.1,1313421,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,Aureispira sp. CCB-QB1
NZ_JH719941.1,694433,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis
NZ_MDFN01000010.1,1434752,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,Arcticibacter eurypsychrophilus
NZ_LGEK01000019.1,1643920,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA 
NZ_FOQO01000032.1,1477437,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,Parapedobacter indicus
NZ_MPZO01000001.1,246796,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter himalayensis
NC_015177.1,762903,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pseudopedobacter,Pseudopedobacter saltans
NC_017770.1,929556,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea canadensis
NC_015277.1,743722,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA 
NZ_FQUS01000061.1,1194090,Bacteria,Balneolaeota,Balneolia,Balneolales,Balneolaceae,Aliifodinibius,Aliifodinibius roseus
NZ_AQXH01000001.1,1121104,Bacteria,Balneolaeota,Balneolia,Balneolales,Balneolaceae,Balneola,Balneola vulgaris
NZ_AQXG01000001.1,1121930,Bacteria,Balneolaeota,Balneolia,Balneolales,Balneolaceae,Gracilimonas,Gracilimonas tropica
NC_017096.1,511051,Bacteria,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,Caldisericum exile
NZ_CM001402.1,880073,Bacteria,Calditrichaeota,Calditrichae,Calditrichales,Calditrichaceae,Caldithrix,Caldithrix abyssi
NZ_LZSA01000009.1,83554,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci
NZ_CCEJ010000001.1,1437425,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Criblamydiaceae,Criblamydia,Criblamydia sequanensis
NZ_LN867111.1,483423,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Criblamydiaceae,Estrella,Estrella lausannensis
NZ_BASK01001342.1,1353976,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,Neochlamydia sp. S13
NC_015702.1,765952,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Parachlamydia,Parachlamydia acanthamoebae
NC_015713.1,331113,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Simkaniaceae,Simkania,Simkania negevensis
NC_014225.1,716544,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Waddliaceae,Waddlia,Waddlia chondrophila
NC_011027.1,517417,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum parvum
NC_008639.1,290317,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides
NC_011026.1,517418,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chloroherpeton,Chloroherpeton thalassium
NC_011060.1,324925,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon phaeoclathratiforme
NC_011059.1,290512,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Prosthecochloris aestuarii
NC_014960.1,926569,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anaerolinea thermophila
NZ_BBXX01000001.1,360411,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea,Bellilinea caldifistulae
NZ_LT859958.1,1986204,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Brevefilum,Brevefilum fermentans
NZ_DF968179.1,1678840,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Flexilinea flocculi
NZ_BBYA01000001.1,229920,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Leptolinea,Leptolinea tardivitalis
NZ_BBXZ01000001.1,229921,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Levilinea,Levilinea saccharolytica
NZ_DF967972.1,360412,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,Longilinea arvoryzae
NZ_LGCL01000015.1,1134406,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea,Ornatilinea apprima
NZ_LGKO01000002.1,869279,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermanaerothrix,Thermanaerothrix daxensis
NZ_BBZA01000001.1,872965,Bacteria,Chloroflexi,Ardenticatenia,Ardenticatenales,Ardenticatenaceae,Ardenticatena,Ardenticatena maritima
NC_017079.1,926550,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila
NC_010175.1,324602,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aurantiacus
NZ_GL501400.1,765420,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Oscillochloridaceae,Oscillochloris,Oscillochloris trichoides
NC_009767.1,383372,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus castenholzii
NC_009455.1,216389,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi
NC_014314.1,552811,Bacteria,Chloroflexi,Dehalococcoidia,NA,NA,Dehalogenimonas,Dehalogenimonas lykanthroporepellens
NZ_ADVG01000010.1,485913,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter,Ktedonobacter racemifer
NZ_JNIM01000001.1,1382306,Bacteria,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,Thermogemmatispora,Thermogemmatispora carboxidivorans
NZ_FYEK01000078.1,877466,Bacteria,Chloroflexi,Thermoflexia,Thermoflexales,Thermoflexaceae,Thermoflexus,Thermoflexus hugenholtzii
NZ_JQMP01000001.1,1382356,Bacteria,Chloroflexi,Thermomicrobia,NA,NA,Thermorudis,Thermorudis peleae
NZ_CAGS01000736.1,1129897,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Nitrolancea,Nitrolancea hollandica
NC_013523.1,479434,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus
NC_011959.1,309801,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,Thermomicrobium roseum
NZ_AWNK01000001.1,118005,Bacteria,Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Chrysiogenes,Chrysiogenes arsenatis
NC_014836.1,653733,Bacteria,Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum,Desulfurispirillum indicum
NC_022600.1,1183438,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter kilaueensis
NZ_AESD01001126.1,423471,Bacteria,Cyanobacteria,NA,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii
NC_019779.1,65093,Bacteria,Cyanobacteria,NA,Chroococcales,Aphanothecaceae,Halothece,Halothece sp. PCC 7418
